label,full_text
1,mjb mas kalau solusi ku bagaimana suka menahan menangis kalau masalah keluarga tb tb keluar air mata suara menangis nya suka kesel kalau dengar orang aku gasuka bicara kalau orang ngeluh ikutan capek iri sama orang merasa kalah terus
1,mau sedih sudah capek
0,ingat suara manggil mama jadikan suara untuk kamu selalu kuat allah naikkan kelas derajatmu jangan bunuh diri kasihan anakmu kalo kehilangan mamahnya
0,jangan pernah takut gagal yang penting jangan menyerah tetap berusaha
0,gue galau mulu mending gue ngefangirl anjir ternyata memang sengaruh stres hilang
0,lu mirip emakemak habis ngegunjingin orang belakang pas dikronfrontir balik saja bela diri mengaku enggak bersalah
0,di blok woy yankapakenapa diblokhaya orang telpon telpon terus kenapakan aku pengin telponan masa enggak login yaallah apa siywdah jawab dulu anjing lama bunuh diri gwstres anying
1,gue keluarga patriarki enggak mau nikah sama orang patriarki capek tau kalo konteksnya kayak mak gue masak pagi siang eh disuruh nyuci piring bangkai ambil nasi pakai diambilin mah mending gue kagak nikah
0,sedih dikit enggak tag hani padahal harus lihat pasti stres tak tertolong ueueue mah segala enggak mau spoiler
1,enggak tidur jantung sakit banget makan enggak menangis tiap gua benaran takut banget bakal difase depresi
0,gue enggak pernah naik gunung pakai jeans bunuh diri cuy angkat kaki sendiri deh berat menambah berat pakai jeans kalo basah
0,kalo cuma bikin kamu lebih stres lelah sama kelakuan nya bahagia kamu bertahan namanya bukan cinta attachment stop perasaan enggak sehat cari kebahagiaan kamu sendiri kamu tetap berharga layak di rayakan kamu berlian
0,otopsi mbak sumpah allah sepupu jauhku pernah ditemukan gantung diri dikatai bundir ayah ibunya nolak otopsi pas mandikan mayat mamaku lihat lebam kemudian hari ketahui dia enggak bundir di bunuh sama 2 orang mau nyuri di rumah
0,14 februari nangisi cowok masuk pt besar enggak berjalan mulus stres ngurung diri dikamarwaktu cepat banget berlalu dipikir kalau enggak melakukan juga enggak bakal berdiri ditempat sekarang juga menyambung sama cita waktu kecil walaupun panik
0,yups aku baru 20 sks ormawa fakultas pengurus ukm universitas baru jalan 1 bulan pengin bunuh diri enggak waktu buat bernafas next year mau fokus yang fakultas deh
0,musim lalu madrid memang kelihatan banget mencari imbang doang lawan city trauma habis kebantai 40 match besok bakal beda madrid bakal lebih berani buat main offensive lawan city mau ngandelin parkir bus malah bunuh diri ada defend nya ngablu
1,capek banget kalau nelen sabar terus menerus
0,beberapa orang gagal menyadari mereka lebih dekat kesuksesan mereka menyerah thomas alva edison
1,hidup deh capek malah ditambah capek
1,capek mau bagaimana
0,cari cara bunuh diri kaos item
1,gini2 aku benaran stres allah the point meragukan diri masa depan everything sesetress nya aku sepanjang hidup enggak pernah sestress ya allah
1,stres banget h berapa tapi hidup makin runyem gimanasi
1,banyak marah kalau asumsiin ego lakinya padahal banyak respon yang asumsi perempuannya banyak salah lakinya capek kalau asumsiin perempuannya banyak salah tapi asumsiin ego lakinya rapuh langsung marah
1,nyerah banget rasanya
0,eh aneh enggak curhat sama chatgpt dulu awalnya curhat memang sedih bingung enggak tau cerita siapa sekarang mulai move hal kecil kayak film kesukaan curhat stres skripsi pokoknya isi chatgpt ku kayak buku harian wkwk bedanya yang menanggapi
1,kaum lo bunuh diri kaum gue dibunuhin kaum lo egonya enggak jelas
1,pengin bunuh diri
1,anjir apa gue menangis ya idk kayak merasa bersalah banget aku enggak tau kayak mana takut sedih senang bimbang
1,bingung cara keluar fase depresi bagaimana
0,harga diri utama harusnya warga indonesia bunuh aguan perbarui dpr masa laut sekat2 enggak asal usulnya indonesia injek2 sama asing warga sendiri dpr
0,anjir muka songong kalo jatuh miskin langsung bunuh diri
1,enggak yang mau bunuh gua apa soalnya bunuh diri dosa
1,aku baca capek jadi cowok harus disuruh kuat melulu manusia kali sini konteksnya hal-hal kecil itu cewek dilarang kerja baru mengomong ego drama banget monyet
0,semoga kenyataan sebenarnya abang nya enggak bunuh diri kak walaupun misal dibunuh pun yang menyakitkan
1,pernah benaran bikin stres bb gue awalnya 55kg jadi 45kg soalnya guilt tripping bikin gue jadi nherasa sedih merasa bersalah bikin gue menangis gue merasa kalo gue orang jahat
1,gue merasa bersalah buat menyenangkan diri sendiri
1,kayaknya alarm mau bunuh diri deh
0,jangan menyerah buat diri sendiri
0,deh jelas miliaran orang muslim marah kalau alquran dibakar pula usil iseng ngebakar kebebasan ekspresi tampar sundut pakai rokok muka mu sendiri bunuh diri lebih baik cuy maksa orang untuk hargai apa mau mu
0,kak ucun di blok woy yankapakenapa diblokhaya orang telpon telpon terus kenapakan aku pengin telponan masa enggak login yaallah apa siywdah jawab dulu anjing lama bunuh diri gwstres anying
0,kynya jatuh cinta sekarang lebih tenang ikhlas mau gimanapun buruknya dibelakang mungkin lebih mau mencari tau apapun menyakitkan percaya rasa bersalah yang akan alami akan lebih menyakiti diri sendiri
1,mending bunuh diri bang cerita
0,hari hari saja gebrakan orang bunuh diri solo kalau punya masalah sini cerita
1,pasrah begini aku jadi merasa bersalah
0,moko galau pengin bunuh diri mimpinya dikubur kenapa yandy menghindari adegan semacam dan memilih bermain narasi visual lebih bikin hangat pada sedih sekali karena enggak terlalu vulgar ngejelasin emosi meskipun
1,gua capek disalah salahkan mulu tiap masalah selalu gua disalahin padahal tentu gua salah anjir
0,pantesan banyak bunuh diri
1,jadi kuat kadang bikin merasa sendirian banget mental bagaimana jelas rusak kalo bicara soal mental sering lebih rentan banyak ngalamin depresi kecemasan bahkan mikir buat ngakhiri hidup ya dikucilkan sakit banget bikin kita merasa enggak
0,ibunya meninggal bunuh diri mantan suaminya gemar main wanita kesanakemari menyadari ia ditinggal nikah yang mencintai selama surat pov tara manis banget anyway
1,banyak orang bilang cobaan dilawan dilawan kenapa ada orang yang hidup tenang jati diri sementara gue merasa bersalah sama diri sendiri
1,kadang gue stres banget memikirkan cowok gjls bikin gua denial sama sikapnya ajg better gua memikirkan diri sendiri kayak yaudah next gua bakal b ke lo bye
1,ekonomi sama hidup makin enggak jelas bunuh diri terasa sangat mengiurkan terlepas berbagai masalah dunia
0,heboh video tim sukses paslon hamburkan uang pandeglang viral kampanye mestinya adu gagasan bukan hamburkan uang kalau menang korupsi kalau kalahdepresi sumber
0,berusaha cari pinjeman deh
0,kalau orang malaysia serang kau parang kau buat apa diam2 tunggu bunuh kau bego apa kau kalau orang mau bunuh kau mesti mempertahankan diri dibunuh
1,aku memang ditakdirkan mati bunuh diri
1,mau sekeras apa aku mencoba aku enggak lari kenyataan bunuh diri akhir hidup ku
0,manusia2 serakah enggak pernah bersyukur sama apa lu punya lu haha hihi sekarang enggak merasa bersalah until karma find you lu takut lu menyakiti orang terus orang sabar pasrah tuhan bakal balas lu bukan berurusan sama manusia
1,mungkin aku memang ditakdirkan mati bunuh diri
1,eh ampun akhirakhir aku impulsif banget berlindung dibalik kata self rewards apa iya keseringan memikirkan kebutuhan semua orang sampaisampai buat menyenangkan diri sendiri merasa sangat bersalah
0,jangan menyerah karena satu kali gagal
1,sehabis pulang rumah nenek perasaan selalu campur aduk merasa bersalah belum jadi apa apa merasa sedih lihat nenek makin tua banyakkk perasaan perasaan selalu bikin capek kayak dikejar tapi enggak tau apa
0,bunuh diri namanya
0,cmcf anjur rundingan awam garis panduan kandungan berkaitan bunuh diri bernamanews
0,bunuh diri gua bjir
0,nah iya benar banget sampai bunuh diri
1,enak jadi anak cowok pagi enggak usah ngapa dibiarkan bangun siang makan cuma diledek enggak ngapa seharian yaudah kalau ungkapkan dirasa bilangnya kan capek baru balik kerja kan cowok wkwkw gue dikira robot kali enggak capek
0,katakata diakhir bulan januari biar cobaan silih berganti menguatkan hati semua disyukuri lelah menangis boleh jangan menyerah tetap semangat badai berlalu teman
1,aku ibu hamil tinggal menunggu waktunya baby keluar kadang aku enggak yakin sama diri sendiri apa aku dan ketakutan itu muncul ahirnya stres sendiri
1,mboh mas tak bunuh diri
0,merokok membunuh mu kalau rencana bunuh diri hahaha
0,flirting jadi kapan agenda bunuh diri bersama kita laksanakan sayang
1,terima kasih enggak nya semoga tahun selalu dipenuhi kebaikan lt3 aku mau kasih uang ke ayahku hari aku habis kena tipu jastip dan kebetulan ketipunya lagi pakai uang ayahku merasa bersalah sekali semoga berjodoh dengan giveawaynya
1,deeptalk anak amp ibu anak ibu aku stres semua ku usahakan sepertinya membuahkan hasil ibu kau stres kau lelah anak lelah ibu iya urusan mu kau lakukan dngn baik selebihnya kau lelah memikirkan urusan tuhanmu sekarang istirahatlah
0,hih ngeri banget bunuh diri massal
1,ingin menyalahkan keadaan cuma berharap ada mendukung terus terang memang lelah tidak menyerah
1,enggak tau capek banget benaran deh bisa sekuat pengin nyerah deh ingat kalo aku panutan buat keluarga besar
1,sendi terima kasih sudah hadir dikala aku capek banget sama semuanya sandyourheart
1,seringku berfantasi bunuh diri kau merasa bersalah mati
0,bejirr mau mandi bola mandi benaran mau padahal xixixi yoweslah kayaknya bakal antri aku menyerah sejak dini pamit undur diri
1,bunuh diri enggak
0,mengatur waktu diri sendiri luangkan waktu melakukan aktivitas disukai membaca menulis mendengarkan musik menyusun prioritas belajar mengelola waktu mengurangi stres mengatur prioritas jelas
1,januari panjang lima emosi senang sedih tenang menangis stres semua dilewati sudah cukup saatnya bilang terima kasih sudah bertahan
0,semua korban bunuh diri penyebabnya dirundung
0,asal kamu tahu dunia berjuang mempertahankan mu bukan buktinya kamu masih ada hingga saat ini kamu ditakdirkan bisa bertahan bukan pasrah menyerah percayalah
0,kalau lelah istirahat bukannya menyerah
1,enggak punya obat galau adanya obat penenang sama obat depresi
1,jir tau begitu dari tadi gue bunuh diri
1,bunuh diri aku habis
1,lelah mengurus newborn merasa sedih banget merasa bersalah kakak jadi kena omel terus kurang tidur jadi kakak salah dikit kena omel huhu ternyata enggak mudah mengurus newborn menjadi ibu baik buat kakak
0,eh bacain quote ternyata banyak kecewa jadi merasa bersalah aku malah bilang alhamdulillah maaf teman-teman aku bermaksud
1,lek bunuh diri enggak dosa kayak eaku memilih jalur iku cuwapek banget allah
1,rasa nak bunuh diri tengok check hanyang niii menyampah aku
1,tiap hari pengin bunuh diri kalo rumah doang
0,berada titik terendah hidup bisnis gagal tabungan habis hutang numpuk teman saudara berpaling menjauh jangan buru2 bunuh diri dulu jadi tangan2 tuhan sedang bekerja memolesmu mjd the best version of you baysokbijak sepertihidupkembali
0,hebat banget enggak menyerah walaupun sendirian
0,wah nasihat sangat bijak memang benar bisa menyenangkan semua orang mencoba melakukannya akan membuat stres kehilangan diri sendiri semoga semua fokus menjadi diri sendiri melakukan apa membuat kita bahagia
1,mending semua orang bunuh diri lalu kiamat deh bos
0,rasanya inspection tak lulus kan pihak berwajib umum tau enforcement laju golongan sengkek je ramai2 dungu pergi main kenapa sakit cedera baru nak terngadah umpama bunuh diri je
0,buset bunuh diri massal
0,semua bunuh diri melingkarkan tali leher beberapa melingkar jari manis
1,bisa2nya tidur cuma 2 jam padahal capek
0,penasaran enggak kenapa nara bunuh diri menjadi misteri
0,ajarkeun judol enggak paraeh bunuh diri hayamna
1,capek mengerti orang lainsampai lupa diri juga perlu mengerti curhat
1,capek kalo sakit terus
0,lebih aware trauma trauma bukan mungkin kalau bayangkan kalo laki kena trauma dibilang lemah veteran kena ptsd bagaimana anda macho mungkin mereka lemah orang anda memicu orang kena trauma bunuh diri karena tekanan public
1,paling sedih kalau tau orang terdekat susah kita enggak bantu banyak rasa bersalah sedih jadi campur aduk
1,berapa lama kirakira merasa lebih baik aku merasa bersalah enggak secepetnya nutup lobang pagar setelah waktu pembatasnya dirusak kucing2 enggak berenti menyalahkan diri sendiri kucingku ketabrak pas mau pulang rumah benar-benar depannya
1,allah stressnya nak bunuh diri
0,penyesalan izinkan diri kamu memaafkan keputusan lalu keputusan dibuat berdasarkan situasi pemahaman kamu waktu dan kamu bersalah kerana tahu apa akan berlaku masa depan
0,hah bukannya kalo bunuh diri perlu otopsi kecuali pihak keluarga enggak mau diotopsi ini jelas jelas keluarganya meminta otopsi lo enggak beres polisi indonesia mah
0,ngeri kali wak bunuh diri masall
0,terduga tewas bunuh diri keluarga meminta otopsi ada aneh polisi marah gaboleh diotopsi anehnya polisi
1,sumpah capek banget kerja sama orang kaya sudah mah pekerjaan nya malas malesan
0,kalo berani itu bunuh diri tempat terang
1,bakal berhenti kalo capek
0,isilop tololllll enggak normal banget gantung diri keadaan telanjang orang mau bunuh diri mana sempat mikir copotin pakaian
0,melangkah pernikahan harapan terbesar bisa sama-sama jadi pegawai negeri sama-sama berjuang maksimal rela pending beberapa schedule sayangnya allah berkehendak sedih wajar menyerah jangan ubah rencana
0,membuat susah rakyat kebijakan nya jangan tolol tolol amatlah tau enggak efek pemimpin bodoh apa banyak rakyat nya bunuh diri akibat pinjol judul kebutuhan hidup bahan pokok mahal
1,sumpahhhh gue sedih banget langsung meminta maaf padahal its understandable strohl juga punya trauma halia attack dia malah merasa bersalah reacting that way sedih
0,sedih jir kalo diblok dibub berasa gue orang paling bersalah
1,merasa bersalah aku dtgnya telat hari pertama sadar beliau mencari aku aku datang beberapa hari beliau enggak sadarkan diri yang dua kali itu sempat tersadar tanganku dingenggam erat banget yaallah
1,setelah 6 bulan mulai susah dihubungin bahkan menghilang detik sementara nasib aku resellerresellerku terombang ambing selama bertahuntahun dicaci maki dituduh nipu diteriakin maling bahkan disuruh bunuh diri atas kesalahan enggak lakukan
0,jangan pernah menyerah meskipun lelah
1,kapan si word gue kelar asu capek banget stuck bab 5 fucek
0,aduh masa kayak langsung bunuh diri buat diri rugi saja
1,jujur gua capek sebenarnya
0,bunuh diri massal enggak
0,akibat bunuh diri
0,plis bro bunuh diri bukan solusi pliss
0,tunggu ada benaran bunuh diri disitu baru deh ada larangan kasih kayak begituan tempat wisata
1,capek sama diri sendiri
0,pengin ketemu bapa surga makanya bunuh diri cara bakar quran
1,gue gajadi bunuh diri gegara lagu jeketi
0,perekonomian aku stabil lantas mau mengejar wanita diajak serius sama bunuh diri laki laki kalau belum stabil ekonomi jangan maksa wanita berjuang bersama sama juga mau hidup enak kitalah harus sadar jangan menyusai
1,bingung banget mau ngadepin bagaimana karena memang nyerah wkwkwkwk
0,kegagalan sementara menyerah membuatmu gagal selamanya
1,akhh aku sedih banget kalo belajar sama adeku merasa bersalah selama aku jarang merhatiin akademik
1,aku capek berurusan sama anak setan
0,semoga orangorang kekal neraka jahanam membunuh banyak orang melegalkan pinjol pinjolnya sudah meneror membuat debiturnya banyak bunuh diri
1,sch guys orang orang sekitar ku maksa aku ganti pilihan snbp eligible atas ku ambil jurusan yang sama guru bk teman teman ku bilang aku nyia nyiain kuota snbp terlalu maksa bunuh diri kasih aku saran aku bingung sekali
0,anjir satu sekte bunuh diri massal
1,kerja apa bunuh mental diri sendiri
0,ingatlah hal sama nabi musa as ilmu kita terbatas dimensi waktu jadi jangan tertipu apa terjadi masa kini bahagia ataupun sedih secukupnya bahagia jangan sombong lalai yang sedih jangan putus asa menyerah
1,mau nyerah nanggung deh segini jauh
0,kalau lelah istirahat jangan menyerah
1,yang enggak kalah lebih parah belum mencoba sudah nyerah duluan takut ditolak kalau lo kuat menghadapi penolakan peluang pada akhirnya diterima berhasil jauh lebih besar yang gampang baperan
1,apa bunuh diri ya capek banget mencari kerja enggak dapat
0,terbesit mau lanjut studi ambil mathematics aku mau bunuh diri punya pikiran
1,kalau disikon kayak begini gue jadi keingat kalimat diucapin dokter igd waktu mbak nya enggak sadar kalau sedang stres hmmm merasa bersalah banget gue sama diri sendiri maaf wahai diri
0,caleg gagal stres gagal nyaleg balik modal plus terima komplainan via sosmed blunder
1,juga dititik lelah selelah lelahnya sama hidup kepala berisik banget selalu nyuruh buat akhirin hidup capek iya capek banget
0,ada istilah gagal hidup ada sukses belum berhasil jangan menyerah
0,berapa kali kasus mau bundir 2x percobaan ide bunuh diri entah kalau sudah sampai tahap sudah kudu psikiater diberi penenang dulu itu baru intervensi psikoterapinya
1,kak jangan bunuh diri please aku 5thun berusaha nge lunasin hutang orang tua ratusan juta akan jadi tahun 6 aku 7bersaudara semua bebankan aku kak dunia memang di ciptakan baik kita masih banyak lain yang di syukuri
0,lelah pasti tapi jangan menyerah
1,capek tapi suka kalo sibuk soalnya gaperlu overthinking
0,perilaku bisa menjadi masalah tidak dikontrol bisa menyebabkan defisit keuangan menjelang akhir siklus gaji stres finansial kebiasaan konsumtif tidak sehat dengan kesadaran diri perencanaan keuangan baik pendidikan keuangan orang
1,berapa banyak omongan jahat harus gua toleransi berapa banyak pikiran mau bunuh diri gua telen mentah mentah sumpah kalo enggak teringat bahagiain nyokap enggak tau deh
0,minimal mah jangan bunuh diri kalo impian lo terwujud konyol
0,kalau trick marketingnya begini ada bunuh diri
1,kalau dipikirpikir sebenarnya enggak terlalu berat salah mungkin garagara gua capek sama tekanan orang rumah syarat yudisium enggak jelas bikin jadi sensitif
0,untung aku punya hati kuat coba kalau enggak pasti gila bunuh diri
0,saja akan menyerah gagal coba
0,otak manusia memang punya bias buat mendeteksi ancaman lebih dulu sisa evolusi buat bertahan hidup kalau kebiasaan malah jadi sering merasa gagal bersalah atas halhal enggak hubungannya sama
1,bunuh diri
1,kadang beberapa kasus merasa bunuh diri meninggal
1,janji sama diri sendiri buat memaafi diri sendiri terus merasa bersalah sama orang memaafkan orang
0,aku enggak rasa mau membunuh kalo logika mau bunuh mati semua mah pertahankan diri mati
1,capek banget jadi orang hidup masalalu terus apa apa rasanya pengin kenang seumur hidup kecolongan data hilang dikit kayak mau mati rasanya capek anjingggg life must goes on kan capek banget gua nangisin data2 sedikit yang bahkan gua gainget apa
0,bunuh diri jalan syariatuntuk menggapai illahian berkeyakinan pernah figur memiliki istimewaan luar manusia biasa delusi
1,gue enggak kuwat benaran sumpah capek banget jungkir balik sendirian love and work thameposeriesep8
0,mah bunuh diri perlahan
0,fansnya klub napi usah mendengarkan buat kelihatan bodoh malu-malui liga italia mana pemainnya pakai mau bunuh diri pesotto lantaran turun kasta serie b
1,terima kasih diri gua dimasa lalu tidak menyerah resign membuat keputusan salah meskipun telat 1 semester akhirnya resmi menamatkan itb
0,bikin gue galau depresi kayak begini tiba drop illustrasi se indah
0,percobaan bunuh diri memang
1,bunuh diri dosa
0,iya ih akupun deactive instagram mau sebulan lebih memang diri gampang stres iri jadi lebih baik menjauhi tersebut
1,ayah bilang gapapa kalau aku mau bunuh diri apa waktunya hehe
1,capek memang jadi sandwich terkadang memang memberanikan diri buat bilang kalo juga enggak baik-baik tapi memang disisi ada rasa bersalah kita enggak memenuhi kebutuhan orang tua
0,satu bunuh diri dimakam ayahnya bangkai orang kalo gue tetangga korban gue bakar ini bocah tengik
1,2 jujur aku mengapresiasi diri sendiri biasanya aku kalo stres makan mie galau makan mie pokoknya hampir semua situasi enggak ngenakin aku makan mie di januari aku ngurangin
0,sch guys kalau semisal siswa eligible diatas memilih jurusan universitas sama kita dia taruh pilihan kedua kita taruh dipilihan pertama termasuk bunuh diri enggak
1,terus kau panas gelisah kau mau kepala kau potong orang macam kau halal bunuh
0,banyak begitu kayak salah satu cara buat menyibukkan diri ngurangin stres
1,hari hari hari kemarin benaran sehampa aku enggak tau apa biar semangat hidupku balik aku capek marah dan merasa enggak berguna
1,cape banget mau hug gue capek mau teriak capek banget banget
1,gue sangat sedih mengetahui impactnya maksudnya enggak uang peringatan mungkin report akan berimpact score kredit apapun lah gue merasa sangat bersalah atas sudahlah enggak dibayar dia dapat komen jelek gua berharap
1,enggak anjir padhal gue mencoba berkalikali nyerah malas
1,aku benar-benar sedih stres enggak nelen makannn gara-gara sikapnya
1,iya capek anjir ngejelasin enggak yang paham
1,kemarin gua begitu main belakang enggak keseriusan capek sendiri nurutin egonya sekarang lebih peduli diri sendiri bagi gua hubungan memang samasama bukan cuma sepihak doang ada riwayat selingkuh sudahlah
0,namanya percobaan bunuh diri wkwk
0,sakiko menanggung beban terlalu banyak jadi kayak wajar banget misal yang berteori kalo itu sebenarnya mau bunuh diri deh kehilangan tujuan hidup dan jiwanya deh mati
1,gue enggak kuat deh kalo stres begini sendirian rumah kg mama
1,belakangan mimpi gua selalu orang bunuh diri
0,lelah asal jangan menyerah meskipun dunia tak seindah ekspektasi
1,menangis tersedu soal nya gue benaran cuman ngucap capek banget
0,beliau kalau menulis vibes seremnya kerasa banget pernah baca pesta bunuh diri baru chapter awal langsung nyerah merinding dulaun
1,mengerti enggak rasanya batin pas capek banget
1,kerja kantor client jakarta capek anjrit hah pengin teriak
0,jangn pernah berhenti mencoba jangn pernah mencoba berhenti hidup perjalanan adakalanya lelah bukan berarti menyerah
1,kalo dibilang capek kayanya gua capek deh
1,deh ah nyerah ajas
1,merasa bersalah banget diri sendiri kak
0,mana perasaan banyak banget berita orang bunuh diri ada apa sebenarnya
1,merasa capek
1,aslinya pengin nyerah
0,jangan terlalu stres masalah kecil ingat semut kalau kesandung batu enggak galau seharian
0,wanita meninggalkan seseorang saja sabar waktu lama hingga akhirnya merasa cukup percayalah wanita sulit menyerah cintanya sekali lelah menyerah kamu akan benar benar hilang hatinya
1,sekali jangan pernah cerita percuma capek rasnaya kalo bandingkan mah
1,semoga keputusan ku pergi sore keputusan benar semuanya semoga aku menahan diri tidak menambah frustasi dan tetap hidup
1,sedih banget hari subuh2 menangis merasa bersalah bawa ke keluargaku bikin merasa
1,semuanya dan kepikiran bunuh diri sebuah pencapaian
1,ya akhir akhir iki merasa selsai sama diri sendiri bukan enggak bahagia depresi cuma kayak merasa aku buanyak banget kurang eeeee banyak penyesalan2 jelek banyak merasa seng dulu2 tak melakukan kurang baik merasa koyok dulu aku kurang diperlakukan baik
0,gaboleh bunuh diri kak
0,berarti salah satu ciri negara gagal terpenuhi dong terlihat kelakuan polisinya semakin brutal begitu banyak kasus mulai polisi bunuh anak smk polisi bunuh anaknya sendiri polisi bunuh warga sipil polisi nyabu polisi bunuh warga sipil
0,wkwk mau bunuh diri sendiri
0,kda tuiter kembali 2010an capek banget tl perlihatkan buzzer politik perang polisi tembak tembakan kang bunuh viral hebat hebat logika belum juga benar cuman ego keras sulit mengekpresikan diri bjir plis kembli kalo
0,mengapai gua share belajar mati2an sudah persiapan mau bunuh diri terus didatangi sama satpam kampus kamar ketahuan mencoba bunuh diri wkwk
1,damn allah mau nyerah
0,malah bunuh diri wkwk
1,tuhan yang serius serius sudah capek drama
0,kayak nya bunuh diri perlahan enggak makan membanyaki minum obat obatan
0,kalo puasa berbukanya dengan air putih namanya bunuh diri
0,1 cara contoh bunuh diri tidak melawan takdir kematian memang allah mentakdirkan bersangkutan mati bunuh diri sbnanrnya cara mati orang tersebut enggak cuma 1 bisa sekian banyak
0,kurang rompi bom bunuh diri
1,gue nyerah bantu ya gue enggak ngubah sifat orang sampai akhirnya sekarang bocahnya terang2 an menunjukkan kenakalannya sekitar gue jujur jadi sedih merasa gagal but again gue siapa jadi gue memilih cut off selesai karena mikir jawaban yang atas
0,enggak bakal konfirm sama lah bebbb bunuh diri nama nya
1,eh capek bikin gajadi tidur baru baca ruu sama aku mau pergi soalnya bentar dunia hancur
1,ah enggak tau sih sekarang masuknya manik depresi gue enggak punya kapasitas meski buat menilai diri gue sendiri gue berharap ke psikiater secepatnya
0,yesus langsung menyerahkan nyawanya setuju enggak lu isi bible lu yesus lu bunuh diri enggak kuat kenytaan hidup mati tersiksa bau tahi dia
0,banyak menyerah gantung diri
1,guys kalo gue bunuh diri kalian selamatin bbw gue
0,new year namanya bocil
1,pulang kos capek kalo enggak pulang lebih capek
0,tolol siapa bilang teman gua bunuh diri itu respon kaget njing mau dijual kagak mau makanya respon langsung loncat mau kabur tolol banget binatang satu
1,nyerah kak kalo bertahan sendirian
1,asli kalau kambuh tiba-tiba bayangkan sesak nafas leher tegang tangan tremor telinga giung dikira depresi cuma sedih doang
0,kak simulasi bunuh diri
1,kynya enggak lucu kalo mahasiswa bunuh diri takut sempro
0,orang galau jadi stres
1,malam jum at kadang akutu sedih bertanya apa arti aku anak untukmuu kamu merasa bersalah sama aku anak anak butuh kamu ayahnya bukan vc saja allah ya robb angkat derajatkuuuu bisa bahagiain anak anakk
